Date,Hour,Param,COUNT Param
2010-08-10,23,31,6050
2010-08-10,23,32,990
2010-08-10,23,4,3233
2010-08-10,23,5,1435
2010-08-10,23,6,726
2010-08-10,23,7,433
2010-08-10,23,8,1487
2010-08-10,23,9,1049
2010-08-10,3,12,1
2010-08-10,3,18,1
2010-08-10,3,22,1
2010-08-10,3,25,2
2010-08-10,3,27,1
2010-08-10,3,30,1
2010-08-10,3,31,3
2010-08-10,3,8,1
2010-08-10,4,1,2
2010-08-10,4,10,9
2010-08-10,4,11,28
2010-08-10,4,12,7
2010-08-10,4,13,22
2010-08-10,4,14,3
2010-08-10,4,15,6
2010-08-10,4,16,11
2010-08-10,4,17,2
2010-08-10,4,18,20
2010-08-10,4,19,6
2010-08-10,4,2,16
2010-08-10,4,20,6
2010-08-10,4,21,7
2010-08-10,4,22,14
2010-08-10,4,23,9
2010-08-10,4,24,2
2010-08-10,4,25,10
2010-08-10,4,26,18
2010-08-10,4,27,17
2010-08-10,4,29,10
2010-08-10,4,3,9
2010-08-10,4,30,6
2010-08-10,4,31,11
2010-08-10,4,32,1
2010-08-10,4,4,9
2010-08-10,4,5,3
2010-08-10,4,6,3
2010-08-10,4,7,2
2010-08-10,4,8,2
2010-08-10,4,9,1
2010-08-10,5,1,1214
2010-08-10,5,10,1261
2010-08-10,5,11,4284
2010-08-10,5,12,1148
2010-08-10,5,13,1982
2010-08-10,5,14,713
2010-08-10,5,15,1068
2010-08-10,5,16,1223
2010-08-10,5,17,308
2010-08-10,5,18,2702
2010-08-10,5,19,713
2010-08-10,5,2,2784
2010-08-10,5,20,1536
2010-08-10,5,21,647
2010-08-10,5,22,1329
2010-08-10,5,23,923
2010-08-10,5,24,487
2010-08-10,5,25,2652
2010-08-10,5,26,1733
2010-08-10,5,27,3589
2010-08-10,5,28,129
2010-08-10,5,29,1414
2010-08-10,5,3,694
2010-08-10,5,30,1641
2010-08-10,5,31,3040
2010-08-10,5,32,503
2010-08-10,5,4,1345
2010-08-10,5,5,700
2010-08-10,5,6,418
2010-08-10,5,7,138
2010-08-10,5,8,521
2010-08-10,5,9,453
2010-08-10,6,1,1314
2010-08-10,6,10,1302
2010-08-10,6,11,4084
2010-08-10,6,12,960
2010-08-10,6,13,1656
2010-08-10,6,14,641
2010-08-10,6,15,1059
2010-08-10,6,16,841
2010-08-10,6,17,292
2010-08-10,6,18,2193
2010-08-10,6,19,589
2010-08-10,6,2,2472
2010-08-10,6,20,1659
2010-08-10,6,21,467
2010-08-10,6,22,1262
2010-08-10,6,23,868
2010-08-10,6,24,532
2010-08-10,6,25,2361
2010-08-10,6,26,1442
